symbol, RSI_accuracy, aroon_accuracy, macd_accuracy, obv_accuracy, stoch_accuracy,_
FAZ,14,253,25,150,80,104.4
FAS,22,253,23,110,84,98.4
TZA,16,265,22,129,76,101.6
TNA,18,271,26,109,73,99.4
TYO,18,293,24,131,71,107.4
TYD,18,269,24,82,93,97.2
TMV,18,290,24,134,90,111.2
TMF,18,300,23,104,92,107.4
GASL,18,296,23,142,113,118.4
SPXS,14,255,24,155,83,106.2
SPXL,14,247,23,93,78,91
TECS,15,256,25,135,81,102.4
TECL,15,243,24,108,82,94.4
ERY,18,266,23,115,104,105.2
ERX,18,277,29,145,98,113.4
NUGT,18,273,25,135,86,107.4
DUST,18,289,23,147,94,114.2
SOXS,15,226,25,112,73,90.2
SOXL,17,253,26,124,79,99.8
UDOW,16,254,22,109,92,98.6
FINU,14,267,27,112,85,101
TQQQ,14,238,24,98,80,90.8
URTY,18,269,25,108,71,98.2
SRTY,17,261,22,148,80,105.6
DGLD,18,254,22,139,97,106
DWTI,16,295,24,113,110,111.6
DGAZ,15,262,23,96,94,98
DSLV,18,254,26,111,95,100.8
UWTI,14,301,27,144,114,120
UGLD,18,264,24,119,90,103
UGAZ,18,289,27,167,109,122
USLV,18,256,24,141,97,107.2
PMV,43,230,36,34,44,77.4
SPTN,14,296,26,105,114,111
SPWH,17,271,26,86,98,99.6
SPWR,18,256,22,120,89,101
HBANP,18,165,19,41,37,56
PCLN,18,289,24,121,97,109.8
GOOGL,18,270,24,109,86,101.4
GOOG,18,255,26,116,85,100
ISRG,14,250,22,99,91,95.2
AMZN,14,272,23,79,95,96.6
REGN,18,276,26,108,79,101.4
ATRI,18,262,22,104,67,94.6
UHAL,18,231,25,91,69,86.8
