Date,Open,High,Low,Close,Volume,Adj Close
2016-02-16,5.80,6.36,5.47,6.33,44821800,6.33
2016-02-12,5.97,6.00,5.04,5.06,38755600,5.06
2016-02-11,5.52,6.20,5.15,5.47,55259800,5.47
2016-02-10,7.52,8.29,6.95,6.98,32867800,6.98
2016-02-09,6.37,7.47,6.28,7.44,37203300,7.44
2016-02-08,6.63,6.73,6.12,6.71,33920900,6.71
2016-02-05,9.29,9.57,7.17,7.22,28687300,7.22
2016-02-04,9.38,9.41,8.22,8.66,29844700,8.66
2016-02-03,12.80,12.83,10.30,10.32,25066900,10.32
2016-02-02,12.72,13.61,12.50,13.10,9861100,13.10
2016-02-01,13.23,13.28,12.30,12.34,11418000,12.34
2016-01-29,14.80,15.00,13.50,13.59,8918800,13.59
2016-01-28,14.61,15.00,13.72,14.56,10113100,14.56
2016-01-27,14.75,15.18,13.63,13.67,10966900,13.67
2016-01-26,16.040001,16.049999,14.30,14.47,10079500,14.47
2016-01-25,17.17,17.450001,16.48,16.639999,6528600,16.639999
2016-01-22,19.200001,19.469999,17.41,18.049999,6498200,18.049999
2016-01-21,19.50,20.530001,18.23,18.59,8369900,18.59
2016-01-20,18.969999,20.440001,18.60,18.620001,7187900,18.620001
2016-01-19,17.629999,20.959999,17.459999,20.450001,6459500,20.450001
2016-01-15,16.049999,18.200001,16.00,18.07,4843600,18.07
2016-01-14,16.84,18.389999,16.299999,17.85,8066900,17.85
2016-01-13,16.459999,17.120001,15.54,16.209999,7678900,16.209999
2016-01-12,15.70,17.00,15.66,16.15,9477100,16.15
2016-01-11,13.41,15.50,13.28,15.17,10520700,15.17
2016-01-08,13.65,14.19,13.25,13.55,8132600,13.55
2016-01-07,13.85,14.17,12.25,12.66,12127300,12.66
2016-01-06,14.63,14.88,14.26,14.55,8456900,14.55
2016-01-05,14.96,15.65,14.95,15.33,5126900,15.33
2016-01-04,15.00,15.93,14.61,15.15,7808200,15.15
2015-12-31,16.700001,16.860001,16.34,16.52,4066000,16.52
2015-12-30,16.65,16.950001,16.389999,16.639999,6068400,16.639999
2015-12-29,15.62,16.25,15.36,15.68,5238900,15.68
2015-12-28,15.50,16.60,15.50,16.139999,7701700,16.139999
2015-12-24,15.43,15.51,14.73,14.78,5431100,14.78
2015-12-23,16.530001,16.629999,15.77,15.79,8621600,15.79
2015-12-22,16.75,17.059999,16.00,16.83,6894600,16.83
2015-12-21,16.360001,16.99,16.09,16.559999,7837000,16.559999
2015-12-18,17.90,18.139999,16.73,17.540001,9510100,17.540001
2015-12-17,17.68,18.92,17.639999,18.799999,9216300,18.799999
2015-12-16,16.969999,17.99,15.75,16.00,12567200,16.00
2015-12-15,17.799999,18.629999,17.360001,18.120001,7256000,18.120001
2015-12-14,16.07,18.379999,15.92,18.370001,13772300,18.370001
2015-12-11,16.950001,16.959999,15.25,15.77,10150100,15.77
2015-12-10,16.51,16.610001,15.50,16.27,7465000,16.27
2015-12-09,15.53,16.74,15.23,16.139999,9693200,16.139999
2015-12-08,16.25,17.309999,15.99,16.74,9561800,16.74
2015-12-07,15.20,16.809999,15.06,16.370001,10824100,16.370001
2015-12-04,16.719999,16.77,14.51,14.66,13403900,14.66
2015-12-03,17.49,18.23,16.84,17.35,12035700,17.35
2015-12-02,18.40,19.110001,17.690001,18.450001,11460000,18.450001
2015-12-01,18.49,19.110001,17.02,17.17,9527600,17.17
2015-11-30,19.75,19.889999,18.65,18.85,7670100,18.85
2015-11-27,20.360001,20.52,19.60,20.030001,5477800,20.030001
2015-11-25,19.40,19.700001,18.200001,19.049999,8288000,19.049999
2015-11-24,19.709999,20.25,18.50,18.620001,8637500,18.620001
2015-11-23,21.00,21.389999,20.309999,20.969999,6998000,20.969999
2015-11-20,18.25,20.91,18.040001,20.50,10644700,20.50
2015-11-19,19.700001,19.85,18.049999,18.51,11144600,18.51
2015-11-18,22.51,23.58,20.18,20.65,11056000,20.65
2015-11-17,20.459999,22.90,20.25,22.639999,11066100,22.639999
2015-11-16,19.99,20.40,19.41,19.93,5899600,19.93
2015-11-13,21.32,21.50,20.209999,20.440001,7723800,20.440001
2015-11-12,21.75,21.969999,19.75,21.129999,10827800,21.129999
2015-11-11,20.83,21.370001,20.360001,20.360001,7357000,20.360001
2015-11-10,20.799999,21.40,20.15,21.09,10029500,21.09
2015-11-09,21.370001,22.120001,19.67,19.68,11745100,19.68
2015-11-06,20.780001,21.639999,20.379999,21.280001,12605000,21.280001
2015-11-05,17.00,19.18,17.00,18.85,16262800,18.85
2015-11-04,15.66,17.09,15.11,17.00,14647900,17.00
2015-11-03,16.620001,16.76,15.50,16.00,16295600,16.00
2015-11-02,16.459999,17.02,15.28,15.70,15830800,15.70
2015-10-30,15.61,15.99,14.65,15.89,14541600,15.89
2015-10-29,14.17,15.69,13.78,15.38,17263800,15.38
2015-10-28,12.29,14.25,11.30,13.64,25929000,13.64
2015-10-27,13.50,13.77,12.72,13.09,11217800,13.09
2015-10-26,12.20,13.22,12.20,13.16,13937100,13.16
2015-10-23,12.61,13.54,11.80,12.11,17877200,12.11
2015-10-22,13.94,14.00,12.70,13.06,13046500,13.06
2015-10-21,13.20,14.07,13.03,13.75,13158500,13.75
2015-10-20,13.84,13.89,12.17,12.64,16795900,12.64
2015-10-19,12.96,14.59,12.69,14.34,19149400,14.34
2015-10-16,11.85,12.80,11.56,12.80,16595700,12.80
2015-10-15,12.40,12.62,11.50,11.75,16861700,11.75
2015-10-14,13.60,13.76,11.52,11.80,20333700,11.80
2015-10-13,14.83,15.11,13.80,14.54,10503000,14.54
2015-10-12,12.76,15.21,12.75,14.78,10861300,14.78
2015-10-09,14.60,14.92,13.61,13.61,14153300,13.61
2015-10-08,16.49,16.620001,14.10,16.290001,12582300,16.290001
2015-10-07,15.50,16.450001,15.11,15.69,10820300,15.69
2015-10-06,16.08,17.08,15.25,15.54,13217100,15.54
2015-10-05,19.66,19.73,17.280001,17.42,11639600,17.42
2015-10-02,23.35,23.719999,20.10,20.200001,9708900,20.200001
2015-10-01,24.459999,26.809999,23.40,26.389999,3706300,26.389999
2015-09-30,27.85,27.959999,24.75,24.91,3882200,24.91
2015-09-29,26.26,27.40,25.02,26.780001,2465100,26.780001
2015-09-28,25.690001,27.379999,25.17,26.91,4644200,26.91
2015-09-25,23.940001,24.35,23.23,23.76,4096500,23.76
2015-09-24,26.639999,27.040001,22.48,22.91,8069900,22.91
2015-09-23,26.620001,29.18,26.280001,28.93,2799900,28.93
2015-09-22,26.75,28.60,26.50,28.299999,5093300,28.299999
2015-09-21,23.799999,24.969999,23.27,24.889999,4422900,24.889999
2015-09-18,22.110001,24.200001,21.549999,22.780001,5057900,22.780001
2015-09-17,26.85,27.200001,22.85,23.75,5122000,23.75
2015-09-16,29.530001,29.57,25.639999,25.950001,5506300,25.950001
2015-09-15,31.85,32.41,30.040001,31.360001,2468500,31.360001
2015-09-14,31.83,32.869999,29.90,31.709999,3113300,31.709999
2015-09-11,32.25,35.00,30.360001,30.99,4246700,30.99
2015-09-10,29.83,31.719999,29.309999,31.32,2927900,31.32
2015-09-09,30.01,31.559999,28.98,31.18,3889700,31.18
2015-09-08,28.90,30.190001,27.50,28.809999,3054100,28.809999
2015-09-04,30.459999,32.00,29.549999,29.719999,3442000,29.719999
2015-09-03,29.889999,29.99,25.90,29.709999,4508500,29.709999
2015-09-02,27.51,30.15,26.629999,28.25,4326400,28.25
2015-09-01,24.940001,28.07,24.23,27.809999,3819200,27.809999
2015-08-31,26.58,28.43,25.549999,25.549999,4122100,25.549999
2015-08-28,27.73,27.940001,24.07,25.08,5157000,25.08
2015-08-27,33.209999,33.77,26.91,27.879999,4651900,27.879999
2015-08-26,30.83,34.00,30.629999,33.32,5426400,33.32
2015-08-25,24.75,29.950001,24.50,29.23,5476000,29.23
2015-08-24,22.48,27.059999,20.60,26.629999,8419000,26.629999
2015-08-21,18.75,22.07,18.67,21.469999,7426300,21.469999
2015-08-20,20.469999,21.059999,18.969999,19.84,7552000,19.84
2015-08-19,24.24,24.290001,22.299999,22.709999,6703300,22.709999
2015-08-18,25.049999,26.08,24.139999,24.75,4820100,24.75
2015-08-17,24.90,25.190001,23.280001,23.790001,4885300,23.790001
2015-08-14,24.41,27.34,23.98,26.700001,4939400,26.700001
2015-08-13,24.059999,26.24,23.41,25.74,5485600,25.74
2015-08-12,26.18,26.379999,22.049999,22.379999,6446500,22.379999
2015-08-11,28.35,31.389999,27.83,27.83,4444500,27.83
2015-08-10,35.07,36.860001,29.26,29.639999,6763700,29.639999
2015-08-07,36.790001,37.150002,32.939999,36.490002,4495500,36.490002
2015-08-06,38.25,39.09,34.009998,36.880001,4080300,36.880001
2015-08-05,36.400002,40.00,35.549999,39.290001,3635400,39.290001
2015-08-04,36.049999,38.599998,35.439999,37.619999,2614100,37.619999
2015-08-03,34.990002,38.439999,34.82,37.669998,3140500,37.669998
