Date,Open,High,Low,Close,Volume,Adj Close
2016-02-19,52.43,54.779999,49.52,50.34,9143800,50.34
2016-02-18,44.02,54.91,43.50,54.720001,12518600,54.720001
2016-02-17,44.439999,47.169998,43.00,46.310001,9395100,46.310001
2016-02-16,48.50,52.00,42.110001,42.310001,11572900,42.310001
2016-02-12,48.200001,56.889999,47.650002,56.869999,11594500,56.869999
2016-02-11,52.439999,54.799999,48.16,52.66,14045500,52.66
2016-02-10,40.400002,43.50,36.189999,43.400002,10654700,43.400002
2016-02-09,48.310001,48.98,40.630001,40.860001,10765500,40.860001
2016-02-08,46.59,49.540001,45.959999,45.959999,12842500,45.959999
2016-02-05,34.220001,43.369999,33.00,43.029999,12635700,43.029999
2016-02-04,34.630001,38.25,34.509998,36.849998,13345000,36.849998
2016-02-03,26.85,31.940001,26.84,31.809999,11577000,31.809999
2016-02-02,27.17,27.709999,25.120001,26.16,5496300,26.16
2016-02-01,26.450001,28.17,26.26,28.00,8826100,28.00
2016-01-29,23.799999,25.870001,23.379999,25.67,7012800,25.67
2016-01-28,24.049999,25.75,23.309999,24.120001,6485500,24.120001
2016-01-27,24.10,25.90,23.25,25.83,9250700,25.83
2016-01-26,22.459999,24.76,22.43,24.540001,10768000,24.540001
2016-01-25,21.09,21.870001,20.75,21.60,6614400,21.60
2016-01-22,18.870001,20.77,18.60,20.049999,7704600,20.049999
2016-01-21,18.620001,19.91,17.549999,19.60,9699900,19.60
2016-01-20,19.200001,19.50,17.92,19.42,9831500,19.42
2016-01-19,21.190001,21.389999,17.40,17.91,15696500,17.91
2016-01-15,23.10,23.10,20.60,20.690001,9801600,20.690001
2016-01-14,22.57,23.219999,20.26,20.98,14125500,20.98
2016-01-13,23.040001,24.299999,22.110001,23.33,10265800,23.33
2016-01-12,24.290001,24.299999,22.10,23.469999,13387400,23.469999
2016-01-11,28.90,29.08,24.50,25.07,10236700,25.07
2016-01-08,28.34,29.290001,27.00,28.51,7911900,28.51
2016-01-07,28.59,31.50,27.92,30.74,9599000,30.74
2016-01-06,27.10,27.719999,26.639999,27.17,6599000,27.17
2016-01-05,26.610001,26.65,25.35,25.959999,5233900,25.959999
2016-01-04,26.48,27.10,25.110001,26.360001,9188800,26.360001
2015-12-31,24.02,24.48,23.76,24.280001,5055300,24.280001
2015-12-30,24.17,24.50,23.60,24.08,5655000,24.08
2015-12-29,25.82,26.15,24.809999,25.60,4980100,25.60
2015-12-28,26.15,26.23,24.17,24.99,6372300,24.99
